Taxa
Bignonia tweediana
Dolichandra unguiscati
Acacia farnesiana
Acacia koa
Aristolochia philippinensis
Breynia vitis-idaea
"Citrus ""Shasta Gold""'"
Citrus unknownium
Colysis ampla
Chamaecrista nictitans subsp. patellaria 
Chamaecrista nictitans subsp. patellaria var. glabrata
Crinum asiaticum
asystasia gangetica subsp micrantha
Elaeocarpus angustifolius
Fouquieria columnaris (Kellogg) Kellogg ex Curran
Heliconia hirsuta 
Hibiscus columnaris
Jasminum rex
Melia azedarach
Odontonema cuspidatum
Phragmanthera capitata
Pithecellobium dulce
Stylurus banksii
Tarenna cumingiana
Vigna sandwicensiss
